system_id,vertcon_stats,difference_stats,location,metadata
4905000073,"{'mean_offset': -0.43489195659881236, 'std_offset': 5.609684618914146e-05, 'min_offset': -0.435013817354352, 'max_offset': -0.4348219326299909, 'valid_points': 35}","{'mean_diff': -0.3575359995675626, 'std_diff': 0.11786699882597544, 'min_diff': -0.5106006270791568, 'max_diff': 0.08905793794849615}","{'latitude': 42.063915473936966, 'longitude': -78.16805685783895}",{}
5105190002,"{'mean_offset': 0.04769331363280853, 'std_offset': 0.002670867184473703, 'min_offset': 0.04357945046075777, 'max_offset': 0.053139220657058006, 'valid_points': 3474}","{'mean_diff': 6.063276841702375, 'std_diff': 1.554753711959786, 'min_diff': 2.643742421422985, 'max_diff': 9.85327091484288}","{'latitude': 40.01320505781962, 'longitude': -91.42565821732319}",{}
4705000025,"{'mean_offset': 0.0069998681354340574, 'std_offset': 0.0010033866732010936, 'min_offset': 0.004990022745807581, 'max_offset': 0.008067832298640635, 'valid_points': 393}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 42.51598196144111, 'longitude': -96.37447007160128}",{}
2205000062,"{'mean_offset': 0.4205239971966476, 'std_offset': 0.008212451617397998, 'min_offset': 0.40820379113433436, 'max_offset': 0.4304138979959921, 'valid_points': 1548}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 35.150252287205554, 'longitude': -106.60947651632614}",{}
4705000003,"{'mean_offset': -0.01193042421999174, 'std_offset': 0.0007620732822193822, 'min_offset': -0.013235651072440024, 'max_offset': -0.009754003952118366, 'valid_points': 1203}","{'mean_diff': 0.5003855875084996, 'std_diff': 0.8547434726441542, 'min_diff': -0.7091623216560379, 'max_diff': 2.420434075256992}","{'latitude': 42.182425023295714, 'longitude': -95.95360683396831}",{}
5205000721,"{'mean_offset': 0.7186266835946341, 'std_offset': 0.0047324136946078925, 'min_offset': 0.7102809061927249, 'max_offset': 0.7282719324808858, 'valid_points': 712}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 38.29466861650398, 'longitude': -121.59127811195232}",{}
4705000154,"{'mean_offset': -0.06667613743649302, 'std_offset': 0.0008384140145328025, 'min_offset': -0.06776069672113937, 'max_offset': -0.0655478221701985, 'valid_points': 119}","{'mean_diff': 0.005121465882176503, 'std_diff': 0.12104351065143508, 'min_diff': -0.6896933299826742, 'max_diff': 0.7590946156903442}","{'latitude': 41.45700469381023, 'longitude': -97.41607901407713}",{}
5705000037,"{'mean_offset': -0.11093899198569777, 'std_offset': 6.625260050086439e-06, 'min_offset': -0.11094801968651351, 'max_offset': -0.11093002353020759, 'valid_points': 27}","{'mean_diff': 0.46432413735458006, 'std_diff': 0.23530118756940321, 'min_diff': -0.14837522382799762, 'max_diff': 0.8444090315584845}","{'latitude': 48.09107102350884, 'longitude': -101.05906576263736}",{}
6005000545,"{'mean_offset': 0.5861295941802289, 'std_offset': 2.2227367218757022e-05, 'min_offset': 0.586088502169875, 'max_offset': 0.5861713944121425, 'valid_points': 167}","{'mean_diff': 0.4701180260079799, 'std_diff': 0.3791759757072723, 'min_diff': -1.3674524380334674, 'max_diff': 2.997635811111877}","{'latitude': 46.678991042510354, 'longitude': -118.86751040850501}",{}
4705000094,"{'mean_offset': -0.07172993717686665, 'std_offset': 0.002268092157636359, 'min_offset': -0.07554659835589456, 'max_offset': -0.06877273527915813, 'valid_points': 162}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 41.395749852524574, 'longitude': -97.12891221773398}",{}
4905000019,"{'mean_offset': -0.36592700005924494, 'std_offset': 5.309689700408924e-05, 'min_offset': -0.36600196952983427, 'max_offset': -0.36583362215712484, 'valid_points': 48}","{'mean_diff': -0.41868553480859205, 'std_diff': 0.03589670032400672, 'min_diff': -0.49434529848025477, 'max_diff': -0.3304563293163483}","{'latitude': 40.43370424229122, 'longitude': -80.07751101336008}",{}
5205000181,"{'mean_offset': 0.7740860174323818, 'std_offset': 0.0009537181597934347, 'min_offset': 0.7727204534929436, 'max_offset': 0.7762800681907918, 'valid_points': 126}","{'mean_diff': 0.8728191928009179, 'std_diff': 0.09121168372823674, 'min_diff': 0.533622760387757, 'max_diff': 1.1555043112409358}","{'latitude': 38.21288389437118, 'longitude': -122.12675624529354}",{}
2205000008,"{'mean_offset': 0.42458392396248845, 'std_offset': 0.006181890453250698, 'min_offset': 0.4148919928831034, 'max_offset': 0.4336782367294914, 'valid_points': 2036}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 35.03241947517784, 'longitude': -106.64493932956526}",{}
3405000073,"{'mean_offset': -0.08904162211913068, 'std_offset': 4.392135749967054e-05, 'min_offset': -0.08911921353933151, 'max_offset': -0.0889660935361724, 'valid_points': 82}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 27.21629586382344, 'longitude': -80.9805865468556}",{}
5705000001,"{'mean_offset': -0.11822715920905945, 'std_offset': 1.697503665468931e-05, 'min_offset': -0.11825256454363492, 'max_offset': -0.11819876982186936, 'valid_points': 23}","{'mean_diff': -0.19675552198079863, 'std_diff': 0.051074985426983126, 'min_diff': -0.3661699448012996, 'max_diff': -0.0914798741802656}","{'latitude': 46.51516339420757, 'longitude': -94.06885700111657}",{}
4705000056,"{'mean_offset': -0.014154100264745556, 'std_offset': 0.00017114979657440016, 'min_offset': -0.01442116039322668, 'max_offset': -0.01388891186077177, 'valid_points': 461}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 41.614119755716594, 'longitude': -96.54628924784215}",{}
3005000006,"{'mean_offset': -0.029175650012088668, 'std_offset': 0.001171047421081495, 'min_offset': -0.03110879605953714, 'max_offset': -0.02738471638151651, 'valid_points': 2228}","{'mean_diff': -17.150709884543566, 'std_diff': 8.7300926003541, 'min_diff': -27.617212911556464, 'max_diff': 9.270864964179793}","{'latitude': 32.78123493913748, 'longitude': -96.86693851100709}",{}
5105510001,"{'mean_offset': 0.07774257619593175, 'std_offset': 0.0018736004816454822, 'min_offset': 0.07596752786512743, 'max_offset': 0.08185085353620182, 'valid_points': 1724}","{'mean_diff': 0.001569966579056581, 'std_diff': 0.06445588331931601, 'min_diff': -0.3795640772116542, 'max_diff': 0.18647699561358877}","{'latitude': 40.162669818255814, 'longitude': -90.23798757578534}",{}
4905000077,"{'mean_offset': -0.3573746898888375, 'std_offset': 6.097786203216207e-06, 'min_offset': -0.35738480467630435, 'max_offset': -0.3573652805933646, 'valid_points': 10}","{'mean_diff': -0.3540848949669737, 'std_diff': 0.04287196334984367, 'min_diff': -0.4358731243027023, 'max_diff': -0.2808162011606896}","{'latitude': 40.17862100924414, 'longitude': -80.27273423837785}",{}
5205000481,"{'mean_offset': 0.7403239695919583, 'std_offset': 0.00035068116134522097, 'min_offset': 0.7399226569171744, 'max_offset': 0.7409247350123706, 'valid_points': 64}","{'mean_diff': 0.8125780312908719, 'std_diff': 0.07161907675581222, 'min_diff': 0.505459336118582, 'max_diff': 0.9070180380791495}","{'latitude': 38.88446110538715, 'longitude': -121.61519301697197}",{}
3905000026,"{'mean_offset': -0.28192032091070385, 'std_offset': 1.4092074374157591e-05, 'min_offset': -0.28193031903075616, 'max_offset': -0.28188869907771785, 'valid_points': 11}","{'mean_diff': -0.15397953610956125, 'std_diff': 0.09932969396522193, 'min_diff': -0.31457302524961506, 'max_diff': 0.033745509061361645}","{'latitude': 39.90369977439113, 'longitude': -85.1607911744395}",{}
5605110001,"{'mean_offset': -0.0032449826590385798, 'std_offset': 0.0022136930742544477, 'min_offset': -0.006205419799678706, 'max_offset': 0.0007475242693466299, 'valid_points': 179}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 39.05825994538319, 'longitude': -89.03286901359931}",{}
4705000150,"{'mean_offset': -0.09278065776852672, 'std_offset': 0.0007712200900142777, 'min_offset': -0.09414805108307303, 'max_offset': -0.09129973643553485, 'valid_points': 166}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 40.84361436306691, 'longitude': -96.68700218352012}",{}
5605890001,"{'mean_offset': -0.03262430074808714, 'std_offset': 0.0102770105989124, 'min_offset': -0.04478391783643367, 'max_offset': -0.012449661737009662, 'valid_points': 11915}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 38.86408025269689, 'longitude': -90.29621389473006}",{}
4705000122,"{'mean_offset': -0.05934860070753553, 'std_offset': 0.0006913732503436017, 'min_offset': -0.06033552787707756, 'max_offset': -0.05815425551269071, 'valid_points': 248}","{'mean_diff': 0.7352935708445676, 'std_diff': 1.984909189901657, 'min_diff': -1.1081779702353742, 'max_diff': 8.519479931041417}","{'latitude': 41.20956388882496, 'longitude': -96.02137943988879}",{}
3405000032,"{'mean_offset': -0.08676680277781469, 'std_offset': 0.0012159672143259685, 'min_offset': -0.0887784642417622, 'max_offset': -0.08443104380065336, 'valid_points': 1218}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 27.14310046675123, 'longitude': -80.96216468102452}",{}
5105260008,"{'mean_offset': 0.042124172025014325, 'std_offset': 0.0021316504033452727, 'min_offset': 0.03907274400540631, 'max_offset': 0.04601345759402113, 'valid_points': 1846}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 39.72566746327522, 'longitude': -91.23898164526832}",{}
4705000007,"{'mean_offset': -0.013152332826350076, 'std_offset': 0.001204223981452182, 'min_offset': -0.015696952528916657, 'max_offset': -0.011647276093983912, 'valid_points': 855}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 42.06399585076527, 'longitude': -96.00297149760357}",{}
5005900701,"{'mean_offset': 0.6853781371200803, 'std_offset': 8.33145638077864e-06, 'min_offset': 0.685364449168945, 'max_offset': 0.6853919510013806, 'valid_points': 22}","{'mean_diff': 0.3466331391418699, 'std_diff': 0.12355727916890573, 'min_diff': 0.13038628641361072, 'max_diff': 0.5679907856318733}","{'latitude': 46.186316883960046, 'longitude': -123.5850845506155}",{}
4905000023,"{'mean_offset': -0.36583056212648213, 'std_offset': 4.6942936735551044e-05, 'min_offset': -0.36590444937704836, 'max_offset': -0.36574493139661945, 'valid_points': 35}","{'mean_diff': -0.44971858877268733, 'std_diff': 0.03474017185516895, 'min_diff': -0.5168406607067766, 'max_diff': -0.3581957376939897}","{'latitude': 40.43126730367974, 'longitude': -80.08017612231193}",{}
2205000058,"{'mean_offset': 0.41517138274142795, 'std_offset': 0.0004439961796825484, 'min_offset': 0.41458900431851625, 'max_offset': 0.4159885380507199, 'valid_points': 182}","{'mean_diff': 0.4231354645580473, 'std_diff': 0.059206410627808, 'min_diff': 0.24552474235542832, 'max_diff': 0.5934980943304708}","{'latitude': 35.12858571860448, 'longitude': -106.60731348193913}",{}
4105000005,"{'mean_offset': -0.1540135918945193, 'std_offset': 0.00014615776815404445, 'min_offset': -0.15437103387139595, 'max_offset': -0.153833081499887, 'valid_points': 552}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 31.033443588140457, 'longitude': -85.87115478626755}",{}
3705000025,"{'mean_offset': -0.12810291037227867, 'std_offset': 0.0007767732956130793, 'min_offset': -0.12974143457740445, 'max_offset': -0.12650937981981214, 'valid_points': 787}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 36.585660068229096, 'longitude': -90.3169880590136}",{}
5805000048,"{'mean_offset': 0.07005130499102816, 'std_offset': 0.00032127974806258426, 'min_offset': 0.06971037935749737, 'max_offset': 0.07059611777431699, 'valid_points': 268}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 38.30796659760358, 'longitude': -95.95253348532083}",{}
5305000046,"{'mean_offset': 0.8976137573478448, 'std_offset': 0.0038945420154967575, 'min_offset': 0.890888727624067, 'max_offset': 0.9034376748888805, 'valid_points': 241}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 37.95824412764524, 'longitude': -122.37708546001933}",{}
